"","Date","Hour.CST.","Fargo","Fargo.1","Fargo.2","Fargo.3","Fargo.4","Fargo.5","Fargo.6","Fargo.7","Fargo.8","Fargo.9","Fargo.10","Fargo.11","Fargo.12","Fargo.13","Fargo.14","Fargo.15","Fargo.16","Fargo.17","Fargo.18"
"60","2018-01-03","700","-8","76","17","16","6.6","8.7","321","7","0","M","996","-14","-24","-8","77","8.0","11.5","314","6"
"61","2018-01-03","800","-8","75","17","16","6.6","12.8","330","10","0","M","996","-14","-24","-8","77","7.6","15.3","323","10"
"62","2018-01-03","900","-9","75","17","16","6.4","10.2","330","13","3","M","996","-15","-24","-9","77","7.5","12.2","322","11"
"63","2018-01-03","1000","-8","75","17","16","7.7","14.6","343","13","12","M","997","-14","-25","-8","76","8.5","15.5","336","13"
"64","2018-01-03","1100","-5","74","17","16","9.0","14.9","350","17","14","M","997","-12","-23","-6","75","9.9","16.0","343","15"
"65","2018-01-03","1200","-5","72","17","16","7.5","11.2","349","15","29","M","997","-12","-21","-5","73","8.2","13.3","343","14"
"66","2018-01-03","1300","-5","72","17","16","9.2","13.2","341","12","32","M","996","-12","-23","-6","73","10.2","14.0","334","9"
"67","2018-01-03","1400","-5","71","17","16","8.4","12.4","343","12","30","M","996","-12","-22","-5","71","9.3","13.0","336","10"
"68","2018-01-03","1500","-5","69","17","16","7.1","10.6","343","11","24","M","996","-12","-20","-5","70","7.9","11.6","335","10"
"69","2018-01-03","1600","-5","69","18","16","6.5","9.4","346","13","15","M","997","-12","-20","-5","70","7.4","10.2","339","10"
"70","2018-01-03","1700","-5","71","18","16","4.8","7.5","350","10","4","M","997","-13","-18","-6","72","5.7","8.9","343","10"
"71","2018-01-03","1800","-6","72","18","16","3.1","5.9","7","26","0","M","997","-13","-15","-6","73","3.5","6.3","360","25"
"72","2018-01-03","1900","-5","71","18","16","3.6","6.9","1","13","0","M","996","-12","-15","-5","72","3.7","6.9","355","13"
"73","2018-01-03","2000","-5","69","17","16","4.0","7.2","10","18","0","M","997","-12","-16","-5","70","4.3","7.8","4","17"
"74","2018-01-03","2100","-5","70","17","16","3.0","5.2","2","18","0","M","997","-12","-5","-5","71","3.1","5.7","358","17"
"75","2018-01-03","2200","-5","70","17","16","2.3","5.4","32","12","0","M","997","-12","-5","-5","70","2.5","5.9","25","14"
"76","2018-01-03","2300","-4","69","17","16","1.7","4.6","63","26","0","M","997","-12","-4","-5","70","1.8","4.6","61","25"
"77","2018-01-03","2400","-4","70","17","16","1.8","4.3","74","21","0","M","997","-12","-4","-5","71","2.0","4.7","70","20"
"78","Date","Hour(CST)","Fargo","Fargo","Fargo","Fargo","Fargo","Fargo","Fargo","Fargo","Fargo","Fargo","Fargo","Fargo","Fargo","Fargo","Fargo","Fargo","Fargo","Fargo","Fargo"
"79","Date","Hour(CST)","AvgAirTemp(°F)","AvgRelHum(%)","AvgBareSoilTemp(°F)","AvgTurfSoilTemp(°F)","AvgWindSpd(mph)","MaxWindSpd(mph)","AvgWindDir(deg)","WindDirStD(deg)","TotalSolarRad(Lys)","TotalRainfall(inch)","StnBaroPres(mb)","AvgDewPoint(°F)","AvgWindChill(°F)","9 mAvgAirTemp(°F)","9 mAvgRelHum(%)","10 mAvgWindSpd(mph)","10 mMaxWindSpd(mph)","10 mAvgWindDir(deg)","10 mWindDirStD(deg)"
"80","2018-01-04","100","-4","71","17","16","1.3","3.9","158","33","0","M","996","-11","-4","-4","72","1.4","3.7","150","34"
"81","2018-01-04","200","-3","69","17","16","0.8","5.0","189","17","0","M","996","-11","-3","-4","70","0.7","4.7","183","12"
"82","2018-01-04","300","-3","73","17","16","2.4","5.1","59","22","0","M","997","-10","-3","-4","74","2.6","5.6","57","22"
"83","2018-01-04","400","-3","77","17","17","3.4","6.3","85","18","0","M","996","-9","-13","-4","77","3.8","6.0","82","16"
"84","2018-01-04","500","-3","78","18","17","3.4","5.9","95","18","0","M","996","-9","-13","-4","77","3.8","6.0","91","15"
"85","2018-01-04","600","-3","78","18","17","3.3","6.1","111","22","0","M","996","-8","-12","-3","76","3.8","6.7","106","19"
"86","2018-01-04","700","-3","79","18","17","5.3","9.2","141","13","0","M","996","-8","-15","-3","77","5.8","9.5","136","11"
"87","2018-01-04","800","-2","79","18","17","4.6","8.6","143","14","0","M","996","-7","-13","-2","77","5.0","9.3","138","13"
"88","2018-01-04","900","-1","77","18","17","5.5","9.3","145","17","1","M","996","-7","-14","-2","76","6.0","9.9","141","15"
"89","2018-01-04","1000","0","75","18","17","4.9","8.3","148","15","6","M","997","-7","-12","-1","75","5.3","8.4","143","14"
"90","2018-01-04","1100","0","73","18","18","4.8","7.8","154","13","10","M","997","-6","-11","0","74","5.2","8.6","148","12"
"91","2018-01-04","1200","1","72","18","18","4.5","8.2","159","17","15","M","996","-6","-9","1","73","5.0","8.0","153","16"
"92","2018-01-04","1300","2","71","19","18","3.6","7.0","132","26","18","M","996","-5","-7","2","72","4.0","7.5","126","24"
"93","2018-01-04","1400","3","70","19","18","3.5","7.2","92","32","14","M","996","-5","-6","2","71","4.0","7.3","88","28"
"94","2018-01-04","1500","3","69","19","19","3.3","7.2","67","24","15","M","996","-5","-5","3","70","3.7","7.3","63","24"
"95","2018-01-04","1600","3","68","19","19","3.6","6.8","56","21","8","M","996","-5","-6","3","69","4.1","6.6","53","19"
"96","2018-01-04","1700","3","69","20","19","4.6","7.4","35","12","2","M","997","-5","-8","2","69","5.2","7.8","31","12"
"97","2018-01-04","1800","2","70","20","19","4.1","6.8","23","14","0","M","997","-5","-7","2","70","4.7","7.4","18","13"
"98","2018-01-04","1900","2","70","20","19","4.7","9.0","24","10","0","M","998","-5","-8","2","71","5.3","9.9","18","8"
"99","2018-01-04","2000","2","70","20","19","4.9","7.6","22","11","0","M","998","-6","-9","2","71","5.5","8.7","16","9"
"100","2018-01-04","2100","0","73","20","19","4.4","7.5","26","12","0","M","998","-7","-10","0","74","4.8","9.0","18","9"
"101","2018-01-04","2200","-2","70","20","19","2.8","7.2","29","10","0","M","998","-10","-2","-1","70","3.6","7.2","26","10"
"102","2018-01-04","2300","-6","76","20","19","1.5","3.4","1","15","0","M","999","-12","-6","-4","73","2.7","4.3","8","14"
"103","2018-01-04","2400","-9","78","20","19","1.5","2.8","343","16","0","M","999","-14","-9","-7","78","2.3","3.8","349","12"
"104","Date","Hour(CST)","Fargo","Fargo","Fargo","Fargo","Fargo","Fargo","Fargo","Fargo","Fargo","Fargo","Fargo","Fargo","Fargo","Fargo","Fargo","Fargo","Fargo","Fargo","Fargo"
"105","Date","Hour(CST)","AvgAirTemp(°F)","AvgRelHum(%)","AvgBareSoilTemp(°F)","AvgTurfSoilTemp(°F)","AvgWindSpd(mph)","MaxWindSpd(mph)","AvgWindDir(deg)","WindDirStD(deg)","TotalSolarRad(Lys)","TotalRainfall(inch)","StnBaroPres(mb)","AvgDewPoint(°F)","AvgWindChill(°F)","9 mAvgAirTemp(°F)","9 mAvgRelHum(%)","10 mAvgWindSpd(mph)","10 mMaxWindSpd(mph)","10 mAvgWindDir(deg)","10 mWindDirStD(deg)"
"106","2018-01-05","100","-13","79","20","19","0.9","2.5","339","11","0","M","1000","-18","-13","-11","81","2.4","3.7","342","11"
"107","2018-01-05","200","-16","77","20","18","1.1","2.6","333","18","0","M","999","-21","-16","-15","80","2.6","4.3","327","18"
"108","2018-01-05","300","-18","76","19","18","0.9","3.1","352","17","0","M","1000","-24","-18","-17","78","2.0","4.9","343","18"
"109","2018-01-05","400","-20","76","19","18","0.2","1.9","267","5","0","M","1000","-25","-20","-18","78","0.2","2.2","289","3"
"110","2018-01-05","500","-19","76","19","18","0.0","0.0","0","0","0","M","1001","-25","-19","-16","78","0.3","2.0","15","3"
"111","2018-01-05","600","-19","75","19","18","0.4","2.2","324","14","0","M","1001","-25","-19","-17","78","1.0","2.6","350","18"
"112","2018-01-05","700","-21","75","19","18","0.0","1.0","295","1","0","M","1001","-27","-21","-19","77","0.0","0.8","330","7"
"113","2018-01-05","800","-21","75","19","17","0.4","1.8","314","9","0","M","1001","-26","-21","-20","77","0.8","2.0","318","12"
"114","2018-01-05","900","-20","75","19","17","0.4","1.9","349","8","2","M","1002","-26","-20","-20","77","0.5","1.9","360","8"
"115","2018-01-05","1000","-18","75","18","17","0.8","2.5","342","19","13","M","1003","-24","-18","-17","77","0.5","2.2","11","13"
"116","2018-01-05","1100","-15","75","18","17","1.3","2.9","289","12","23","M","1003","-21","-15","-12","77","0.6","3.0","285","14"
"117","2018-01-05","1200","-8","73","18","17","2.6","7.7","191","50","30","M","1002","-15","-8","-7","74","2.7","7.5","175","26"
"118","2018-01-05","1300","-4","61","18","17","4.4","7.7","170","13","25","M","1002","-14","-15","-4","61","4.7","7.5","164","13"
"119","2018-01-05","1400","-2","60","19","18","2.9","5.7","207","17","24","M","1002","-13","-2","-3","60","3.1","6.4","201","16"
"120","2018-01-05","1500","-1","58","19","18","2.7","6.0","212","25","20","M","1002","-12","-1","-1","58","2.9","6.5","203","23"
"121","2018-01-05","1600","-1","60","19","18","4.4","6.9","159","10","14","M","1002","-12","-12","-1","60","4.6","6.7","153","9"
"122","2018-01-05","1700","-2","62","19","18","3.5","5.2","174","8","4","M","1002","-13","-12","-2","62","3.8","5.2","167","8"
"123","2018-01-05","1800","-5","67","19","18","2.4","4.4","182","11","0","M","1002","-13","-5","-4","66","2.9","4.8","176","10"
"124","2018-01-05","1900","-5","69","19","18","1.9","4.6","105","34","0","M","1002","-12","-5","-4","68","2.3","4.7","106","27"
"125","2018-01-05","2000","-4","69","19","18","2.9","5.4","101","13","0","M","1002","-12","-4","-4","69","3.3","5.4","100","10"
"126","2018-01-05","2100","-5","71","19","18","2.4","5.0","109","12","0","M","1002","-12","-5","-5","72","2.8","5.3","106","12"
"127","2018-01-05","2200","-5","72","19","18","3.7","8.0","136","13","0","M","1001","-12","-15","-5","72","4.2","8.3","131","10"
"128","2018-01-05","2300","-5","70","19","18","6.0","9.8","156","9","0","M","1001","-13","-19","-5","71","6.9","10.7","149","10"
"129","2018-01-05","2400","-5","68","19","17","7.3","12.2","157","9","0","M","1001","-13","-21","-5","68","8.2","12.7","152","9"
"130","Date","Hour(CST)","Fargo","Fargo","Fargo","Fargo","Fargo","Fargo","Fargo","Fargo","Fargo","Fargo","Fargo","Fargo","Fargo","Fargo","Fargo","Fargo","Fargo","Fargo","Fargo"
"131","Date","Hour(CST)","AvgAirTemp(°F)","AvgRelHum(%)","AvgBareSoilTemp(°F)","AvgTurfSoilTemp(°F)","AvgWindSpd(mph)","MaxWindSpd(mph)","AvgWindDir(deg)","WindDirStD(deg)","TotalSolarRad(Lys)","TotalRainfall(inch)","StnBaroPres(mb)","AvgDewPoint(°F)","AvgWindChill(°F)","9 mAvgAirTemp(°F)","9 mAvgRelHum(%)","10 mAvgWindSpd(mph)","10 mMaxWindSpd(mph)","10 mAvgWindDir(deg)","10 mWindDirStD(deg)"
"132","2018-01-06","100","-6","68","19","17","9.0","13.2","158","9","0","M","1000","-14","-24","-6","68","10.1","16.2","153","9"
"133","2018-01-06","200","-6","69","18","17","9.3","15.4","158","10","0","M","1000","-14","-24","-6","69","10.4","16.3","154","10"
"134","2018-01-06","300","-6","70","18","17","9.9","16.0","152","11","0","M","999","-14","-25","-7","71","11.2","17.9","148","10"
"135","2018-01-06","400","-4","68","18","17","12.1","18.5","151","12","0","M","998","-12","-24","-5","68","13.4","20.5","147","11"
"136","2018-01-06","500","-2","68","18","17","13.5","23.1","159","11","0","M","997","-10","-23","-3","68","14.8","24.0","154","10"
"137","2018-01-06","600","-1","69","18","17","13.5","24.2","156","11","0","M","996","-9","-21","-2","69","14.8","24.0","151","11"
"138","2018-01-06","700","-1","70","18","17","13.8","22.4","156","11","0","M","995","-8","-21","-1","71","15.4","24.8","152","10"
"139","2018-01-06","800","0","71","18","17","15.2","24.5","158","10","0","M","994","-8","-21","-1","71","16.9","25.6","153","10"
"140","2018-01-06","900","0","71","18","17","14.7","25.8","152","11","3","M","992","-7","-20","0","71","16.3","28.5","148","11"
"141","2018-01-06","1000","2","67","18","17","18.1","32.2","159","11","14","M","992","-7","-21","1","66","20.2","35.1","155","10"
"142","2018-01-06","1100","3","65","18","17","18.8","28.8","162","11","15","M","990","-6","-18","3","64","20.7","32.4","157","10"
"143","2018-01-06","1200","5","68","18","17","17.8","28.5","161","11","9","M","988","-4","-16","4","67","19.7","30.4","157","10"
"144","2018-01-06","1300","7","69","18","17","19.1","34.0","163","11","13","M","986","-1","-14","7","69","21.0","39.8","158","10"
"145","2018-01-06","1400","8","71","18","17","20.2","35.4","163","11","13","M","984","1","-12","8","70","22.4","39.0","159","11"
"146","2018-01-06","1500","9","71","19","17","20.0","31.4","167","10","9","M","984","2","-11","9","71","22.2","34.5","162","10"
"147","2018-01-06","1600","10","72","19","18","19.8","31.8","165","11","4","M","983","3","-10","9","72","22.0","34.9","160","10"
"148","2018-01-06","1700","10","74","19","18","22.0","33.5","163","10","1","M","981","3","-11","10","73","24.3","36.4","158","9"
"149","2018-01-06","1800","11","74","19","18","19.1","31.4","162","11","0","M","981","5","-8","11","74","21.3","32.8","157","10"
"150","2018-01-06","1900","12","75","19","18","19.0","29.5","166","11","0","M","980","6","-7","12","75","21.1","31.3","161","11"
"151","2018-01-06","2000","13","77","19","18","17.4","26.1","163","10","0","M","978","7","-5","13","77","19.2","29.3","159","10"
"152","2018-01-06","2100","14","77","19","18","18.2","27.9","168","10","0","M","977","8","-4","13","78","20.0","30.4","163","9"
"153","2018-01-06","2200","14","77","19","18","16.0","27.1","167","10","0","M","977","9","-3","14","78","17.6","27.3","162","10"
"154","2018-01-06","2300","15","78","19","18","12.5","19.7","165","10","0","M","976","9","0","15","78","13.8","20.8","161","9"
"155","2018-01-06","2400","16","78","19","18","12.6","19.8","168","10","0","M","976","11","2","16","78","13.9","23.7","164","9"
"156","Date","Hour(CST)","Fargo","Fargo","Fargo","Fargo","Fargo","Fargo","Fargo","Fargo","Fargo","Fargo","Fargo","Fargo","Fargo","Fargo","Fargo","Fargo","Fargo","Fargo","Fargo"
"157","Date","Hour(CST)","AvgAirTemp(°F)","AvgRelHum(%)","AvgBareSoilTemp(°F)","AvgTurfSoilTemp(°F)","AvgWindSpd(mph)","MaxWindSpd(mph)","AvgWindDir(deg)","WindDirStD(deg)","TotalSolarRad(Lys)","TotalRainfall(inch)","StnBaroPres(mb)","AvgDewPoint(°F)","AvgWindChill(°F)","9 mAvgAirTemp(°F)","9 mAvgRelHum(%)","10 mAvgWindSpd(mph)","10 mMaxWindSpd(mph)","10 mAvgWindDir(deg)","10 mWindDirStD(deg)"
"158","2018-01-07","100","17","78","19","18","12.8","21.5","175","8","0","M","975","11","2","17","78","14.2","21.5","172","8"
"159","2018-01-07","200","17","78","20","19","12.3","18.8","174","8","0","M","974","11","3","17","79","13.5","21.9","169","8"
"160","2018-01-07","300","17","79","20","19","10.8","16.6","174","8","0","M","974","12","4","17","79","12.1","19.8","171","8"
"161","2018-01-07","400","17","80","20","19","10.3","15.9","171","8","0","M","974","12","3","17","81","11.6","16.3","167","8"
"162","2018-01-07","500","18","81","20","19","11.1","18.1","176","9","0","M","973","13","4","18","82","12.3","18.5","172","8"
"163","2018-01-07","600","18","82","20","19","9.1","14.9","178","8","0","M","974","13","6","18","83","10.2","15.5","175","8"
"164","2018-01-07","700","17","84","20","19","7.4","11.0","178","10","0","M","973","13","6","17","84","8.4","12.3","176","9"
"165","2018-01-07","800","17","85","20","19","5.9","9.9","188","10","0","M","974","13","7","17","86","7.0","11.0","184","9"
"166","2018-01-07","900","17","86","20","19","4.2","7.2","208","19","2","M","974","14","10","18","87","5.4","8.9","208","18"
"167","2018-01-07","1000","21","85","20","19","4.4","6.7","218","10","12","M","974","17","14","21","86","5.4","8.7","218","9"
"168","2018-01-07","1100","25","85","20","19","5.5","8.5","255","13","15","M","975","21","17","24","85","6.3","8.8","251","12"
"169","2018-01-07","1200","29","86","20","19","6.8","14.0","284","13","15","M","976","25","21","29","85","7.9","15.2","278","12"
"170","2018-01-07","1300","32","83","20","20","12.9","22.4","322","10","14","M","976","27","22","32","83","14.8","24.9","313","9"
"171","2018-01-07","1400","33","83","21","20","11.7","19.4","315","8","13","M","976","28","23","32","83","13.5","20.4","307","7"
"172","2018-01-07","1500","34","83","21","21","9.3","18.9","311","16","9","M","977","29","25","33","82","10.8","20.3","304","16"
"173","2018-01-07","1600","34","84","22","21","9.2","14.2","293","10","10","M","977","29","25","34","83","10.9","15.6","287","8"
"174","2018-01-07","1700","33","86","22","21","6.2","9.1","278","7","4","M","978","29","26","33","84","7.8","10.4","272","6"
"175","2018-01-07","1800","28","88","22","22","4.8","7.1","269","9","0","M","978","25","22","31","86","7.4","9.6","264","8"
"176","2018-01-07","1900","27","88","22","22","4.9","9.3","247","10","0","M","978","24","21","29","86","7.1","11.6","247","9"
"177","2018-01-07","2000","27","84","22","22","5.7","10.1","244","6","0","M","978","23","19","28","82","7.7","11.3","242","6"
"178","2018-01-07","2100","26","83","22","21","8.6","14.6","250","7","0","M","977","22","17","27","82","10.5","16.0","247","7"
"179","2018-01-07","2200","26","80","22","21","9.4","12.9","248","7","0","M","977","21","16","27","79","11.3","15.3","245","7"
"180","2018-01-07","2300","26","80","22","21","11.1","16.3","240","7","0","M","977","21","15","27","79","13.1","18.6","236","6"
"181","2018-01-07","2400","27","78","22","21","11.1","15.7","246","6","0","M","978","21","15","27","77","13.1","18.3","242","6"
"182","Date","Hour(CST)","Fargo","Fargo","Fargo","Fargo","Fargo","Fargo","Fargo","Fargo","Fargo","Fargo","Fargo","Fargo","Fargo","Fargo","Fargo","Fargo","Fargo","Fargo","Fargo"
"183","Date","Hour(CST)","AvgAirTemp(°F)","AvgRelHum(%)","AvgBareSoilTemp(°F)","AvgTurfSoilTemp(°F)","AvgWindSpd(mph)","MaxWindSpd(mph)","AvgWindDir(deg)","WindDirStD(deg)","TotalSolarRad(Lys)","TotalRainfall(inch)","StnBaroPres(mb)","AvgDewPoint(°F)","AvgWindChill(°F)","9 mAvgAirTemp(°F)","9 mAvgRelHum(%)","10 mAvgWindSpd(mph)","10 mMaxWindSpd(mph)","10 mAvgWindDir(deg)","10 mWindDirStD(deg)"
"184","2018-01-08","100","26","80","22","21","10.0","14.1","249","7","0","M","978","20","15","26","79","12.0","16.8","245","6"
"185","2018-01-08","200","26","81","22","21","9.3","13.1","257","10","0","M","979","20","15","26","79","11.4","16.0","253","9"
"186","2018-01-08","300","26","81","22","21","8.5","12.4","280","7","0","M","980","20","16","27","79","10.6","15.0","274","6"
